Banco,Tasa,CAE,Div_SSEG,SEG_INCSIS,SEG_DESG,PRIM_DIV,COSTO_TOTCRED,TOT_DIVUF,TOT_DIV$,Plazo,TOT_Seg,Dividendo_CSEG,ValorProp,MontoCre,Fecha,Producto,PlazoFijo
SANT0.55-0.8,"4,33","4,79","11,67","0,29","0,16",,,"12,12",,"20,00","0,45","12,12","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,33","4,79","19,45","0,48","0,26",,,"20,20",,"20,00","0,75","20,20","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,33","4,79","45,39","1,13","0,62",,,"47,14",,"20,00","1,74","47,14","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,43","4,87","10,38","0,29","0,16",,,"10,83",,"25,00","0,45","10,83","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,43","4,87","17,30","0,48","0,26",,,"18,05",,"25,00","0,75","18,05","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,43","4,87","40,38","1,13","0,62",,,"42,12",,"25,00","1,74","42,12","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,43","4,85","9,49","0,29","0,16",,,"9,94",,"30,00","0,45","9,94","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,43","4,85","15,82","0,48","0,26",,,"16,57",,"30,00","0,75","16,57","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT0.55-0.8,"4,43","4,85","36,92","1,13","0,62",,,"38,67",,"30,00","1,74","38,67","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"2,91","3,47","32,72","0,29","0,16",,,"33,17",,"5,00","0,45","33,17","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"2,91","3,47","54,53","0,48","0,26",,,"55,28",,"5,00","0,75","55,28","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"2,91","3,47","127,25","1,13","0,62",,,"128,99",,"5,00","1,74","128,99","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"2,91","3,46","21,49","0,29","0,16",,,"21,94",,"8,00","0,45","21,94","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"2,91","3,46","35,81","0,48","0,26",,,"36,56",,"8,00","0,75","36,56","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"2,91","3,46","83,57","1,13","0,62",,,"85,31",,"8,00","1,74","85,31","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,25","3,78","18,04","0,29","0,16",,,"18,49",,"10,00","0,45","18,49","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,25","3,78","30,06","0,48","0,26",,,"30,81",,"10,00","0,75","30,81","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,25","3,78","70,15","1,13","0,62",,,"71,89",,"10,00","1,74","71,89","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,25","3,77","15,56","0,29","0,16",,,"16,01",,"12,00","0,45","16,01","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,25","3,77","25,93","0,48","0,26",,,"26,68",,"12,00","0,75","26,68","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,25","3,77","60,51","1,13","0,62",,,"62,26",,"12,00","1,74","62,26","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,48","3,98","13,30","0,29","0,16",,,"13,75",,"15,00","0,45","13,75","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,48","3,98","22,16","0,48","0,26",,,"22,91",,"15,00","0,75","22,91","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,48","3,98","51,72","1,13","0,62",,,"53,46",,"15,00","1,74","53,46","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,73","4,20","11,10","0,29","0,16",,,"11,55",,"20,00","0,45","11,55","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,73","4,20","18,50","0,48","0,26",,,"19,25",,"20,00","0,75","19,25","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,73","4,20","43,17","1,13","0,62",,,"44,92",,"20,00","1,74","44,92","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
